Loan_ID,Customer_ID,Loan_Amount,Interest_Rate,Loan_Term,Disbursal_Date,Repayment_Start_Date,Repayment_End_Date,Loan_Status,Overdue_Amount,EMI_Amount,Collateral_Details
L000097,C027155,4181402,13.86,24,2022-12-16,2023-01-16,2024-12-16,Active,21292,4533,None
L000098,C030343,2868014,8.51,24,2021-01-14,2021-02-14,2023-01-14,Overdue,0,6271,Property
L000099,C014671,4435669,9.98,60,2024-03-14,2024-04-14,2029-03-14,Active,13467,6330,None
L000100,C041213,3995169,13.03,36,2023-01-06,2023-02-06,2026-01-06,Overdue,0,3734,None
L000101,C005796,952331,14.76,24,2022-11-16,2022-12-16,2024-11-16,Active,0,6749,Vehicle
L000102,C042296,2666875,12.23,12,2024-06-02,2024-07-02,2025-06-02,Closed,0,67810,Vehicle
L000103,C011271,4691753,10.8,36,2021-07-13,2021-08-13,2024-07-13,Overdue,2586,27826,None
L000104,C024631,2965292,9.58,24,2020-05-04,2020-06-04,2022-05-04,Overdue,48814,41454,Property
L000105,C050777,1833903,13.1,12,2024-01-21,2024-02-21,2025-01-21,Active,0,69373,None
L000106,C051028,1411145,8.41,24,2021-06-09,2021-07-09,2023-06-09,Active,0,57144,Vehicle
L000107,C025076,3074503,11.51,24,2022-05-02,2022-06-02,2024-05-02,Overdue,0,69736,Vehicle
L000108,C006130,1891638,8.05,24,2024-03-22,2024-04-22,2026-03-22,Active,0,86418,Property
L000109,C050208,3553779,13.94,48,2023-11-28,2023-12-28,2027-11-28,Closed,32212,9760,Vehicle
L000110,C039387,2618564,8.4,24,2024-08-19,2024-09-19,2026-08-19,Active,15392,24743,Property
L000111,C034746,1559714,11.67,36,2021-08-15,2021-09-15,2024-08-15,Active,0,18827,Vehicle
L000112,C052176,564716,14.81,60,2023-01-03,2023-02-03,2028-01-03,Overdue,0,28608,Property
L000113,C034097,4215601,10.97,36,2022-04-29,2022-05-29,2025-04-29,Overdue,0,94370,Property
L000114,C056559,4402848,12.08,24,2020-12-19,2021-01-19,2022-12-19,Closed,0,31303,None
L000115,C018886,1387443,10.19,48,2021-01-13,2021-02-13,2025-01-13,Active,30671,97423,Vehicle
L000116,C055071,1138358,13.8,60,2021-05-05,2021-06-05,2026-05-05,Closed,31010,82250,Property
L000117,C057920,2396909,10.39,24,2024-06-22,2024-07-22,2026-06-22,Active,12325,44357,None
L000118,C049089,3277250,14.6,36,2024-07-27,2024-08-27,2027-07-27,Active,0,42359,Property
L000119,C036362,3259431,7.68,60,2020-10-27,2020-11-27,2025-10-27,Closed,2518,67971,None
L000120,C069157,4619717,10.7,12,2021-06-16,2021-07-16,2022-06-16,Overdue,0,12662,None
L000121,C067767,3936711,7.09,24,2020-02-20,2020-03-20,2022-02-20,Active,5545,65990,Property
L000122,C046154,2179432,8.25,12,2023-01-20,2023-02-20,2024-01-20,Active,47912,86802,Property
L000123,C031293,664745,12.1,36,2022-05-09,2022-06-09,2025-05-09,Overdue,8436,21455,Vehicle
L000124,C068004,1255791,10.1,36,2024-10-16,2024-11-16,2027-10-16,Closed,6166,99768,Property
L000125,C046158,962889,11.75,60,2023-03-15,2023-04-15,2028-03-15,Active,31156,49445,None
L000126,C010491,3013725,7.08,12,2021-08-05,2021-09-05,2022-08-05,Overdue,44691,87013,None
L000127,C005960,4063845,13.28,48,2023-08-16,2023-09-16,2027-08-16,Closed,1551,20078,Property
L000128,C012147,841570,11.88,24,2022-10-27,2022-11-27,2024-10-27,Overdue,42024,85320,Vehicle
L000129,C004975,1505036,8.37,12,2022-09-08,2022-10-08,2023-09-08,Active,29647,14373,None
L000130,C015147,1769012,14.37,36,2023-03-12,2023-04-12,2026-03-12,Closed,0,12063,Vehicle
L000131,C006265,3013753,10.92,60,2023-01-08,2023-02-08,2028-01-08,Active,3577,91226,Property
L000132,C019771,3247549,11.4,36,2024-10-14,2024-11-14,2027-10-14,Closed,0,90163,Property
L000133,C026559,850401,7.71,24,2020-01-11,2020-02-11,2022-01-11,Closed,0,50986,Vehicle
L000134,C050337,2879957,12.51,24,2023-03-02,2023-04-02,2025-03-02,Overdue,0,8760,None
L000135,C038661,532257,14.33,24,2024-09-20,2024-10-20,2026-09-20,Overdue,49465,58165,None
L000136,C001802,4304044,9.04,48,2022-04-14,2022-05-14,2026-04-14,Active,0,25643,Vehicle
L000137,C043631,499577,11.11,24,2023-07-12,2023-08-12,2025-07-12,Overdue,6429,24741,None
L000138,C062194,3135304,7.12,36,2022-11-18,2022-12-18,2025-11-18,Active,0,70062,None
L000139,C051228,3869525,10.17,24,2023-03-09,2023-04-09,2025-03-09,Active,0,37141,Property
L000140,C038319,2335573,9.07,48,2020-09-26,2020-10-26,2024-09-26,Active,0,91090,Property
L000141,C059227,4411538,8.28,36,2023-09-01,2023-10-01,2026-09-01,Overdue,0,59583,Vehicle
L000142,C011581,3274702,10.75,12,2024-01-14,2024-02-14,2025-01-14,Overdue,6899,95443,Vehicle
L000143,C046367,4916764,8.63,60,2021-05-05,2021-06-05,2026-05-05,Closed,0,76143,Property
L000144,C013904,1561522,11.61,24,2021-03-22,2021-04-22,2023-03-22,Closed,28076,62072,Vehicle
L000145,C030637,2256994,12.93,24,2024-08-30,2024-09-30,2026-08-30,Active,0,68436,Vehicle
L000146,C044524,444812,12.2,24,2021-10-21,2021-11-21,2023-10-21,Active,0,97269,Vehicle
L000147,C027596,956627,9.33,60,2021-01-30,2021-02-28,2026-01-30,Overdue,0,95097,Property
L000148,C063902,2296688,10.36,60,2023-12-20,2024-01-20,2028-12-20,Overdue,17169,45175,None
L000149,C019526,3451405,8.31,36,2022-02-23,2022-03-23,2025-02-23,Closed,0,38727,None
L000150,C026101,2795853,7.46,48,2024-01-31,2024-02-29,2028-01-31,Overdue,0,16249,None
L000151,C019223,4291087,14.62,12,2023-04-03,2023-05-03,2024-04-03,Active,3468,46061,Vehicle
L000152,C010819,588554,9.67,48,2021-02-18,2021-03-18,2025-02-18,Overdue,0,76422,Vehicle
L000153,C023542,2564692,12.15,48,2020-04-30,2020-05-30,2024-04-30,Active,0,49757,None
L000154,C011083,763644,13.01,48,2023-10-30,2023-11-30,2027-10-30,Overdue,33605,14312,Property
L000155,C065334,1377247,13.91,60,2023-12-14,2024-01-14,2028-12-14,Overdue,0,97895,Property
L000156,C038466,112613,7.61,36,2020-06-20,2020-07-20,2023-06-20,Active,2646,62523,None
L000157,C062397,105829,9.03,36,2022-04-16,2022-05-16,2025-04-16,Closed,49547,4577,None
L000158,C048550,4927308,7.26,48,2021-06-05,2021-07-05,2025-06-05,Overdue,0,16985,Property
L000159,C030671,4799433,8.89,36,2023-04-19,2023-05-19,2026-04-19,Closed,24130,57183,None
L000160,C019212,1808991,11.7,24,2020-01-21,2020-02-21,2022-01-21,Active,47274,94088,None
L000161,C061722,1401941,10.52,36,2020-05-21,2020-06-21,2023-05-21,Active,36571,15500,None
L000162,C048019,1590978,10.8,24,2024-06-01,2024-07-01,2026-06-01,Active,0,8044,Vehicle
L000163,C026446,4999174,7.58,36,2020-11-11,2020-12-11,2023-11-11,Closed,0,2038,None
L000164,C017305,1223066,9.36,36,2020-07-30,2020-08-30,2023-07-30,Closed,0,2540,Property
L000165,C046634,2372434,12.95,12,2021-04-11,2021-05-11,2022-04-11,Active,27446,58483,None
L000166,C049881,779260,7.38,60,2024-09-01,2024-10-01,2029-09-01,Overdue,0,24999,Property
L000167,C033057,1755802,13.26,12,2022-11-16,2022-12-16,2023-11-16,Overdue,38329,79177,Property
L000168,C054113,2069794,13.63,48,2022-01-10,2022-02-10,2026-01-10,Closed,0,82242,Property
L000169,C018639,998126,12.83,60,2024-04-01,2024-05-01,2029-04-01,Closed,0,50741,None
L000170,C040461,3430036,8.04,36,2021-02-14,2021-03-14,2024-02-14,Overdue,0,11746,Vehicle
L000171,C041219,193725,8.13,48,2021-07-25,2021-08-25,2025-07-25,Closed,0,30323,Property
L000172,C024777,4811761,10.61,60,2021-12-27,2022-01-27,2026-12-27,Overdue,0,47400,None
L000173,C059883,378118,9.33,12,2020-11-26,2020-12-26,2021-11-26,Overdue,0,82312,Property
L000174,C020025,4812256,7.59,48,2023-05-03,2023-06-03,2027-05-03,Closed,4006,15174,None
L000175,C056077,3822630,10.83,24,2022-12-29,2023-01-29,2024-12-29,Active,0,48406,None
L000176,C060888,510392,8.24,36,2022-02-08,2022-03-08,2025-02-08,Overdue,39867,35399,Vehicle
L000177,C052228,1774279,13.26,12,2021-03-19,2021-04-19,2022-03-19,Overdue,6503,8146,Property
L000178,C064686,3106030,14.81,48,2024-06-18,2024-07-18,2028-06-18,Active,0,52547,Property
L000179,C064118,4831072,13.19,12,2024-01-05,2024-02-05,2025-01-05,Closed,46643,64411,Vehicle
L000180,C034249,4825650,14.44,12,2024-06-28,2024-07-28,2025-06-28,Overdue,0,83257,None
L000181,C002041,74064,12.21,24,2020-12-04,2021-01-04,2022-12-04,Active,43492,94320,Property
L000182,C055126,1326342,12.34,48,2024-07-02,2024-08-02,2028-07-02,Closed,0,81923,Property
L000183,C046996,2281760,14.74,36,2021-03-04,2021-04-04,2024-03-04,Closed,0,29591,Property
L000184,C020753,1283762,12.09,60,2024-03-29,2024-04-29,2029-03-29,Closed,34427,84370,Property
L000185,C011097,3098471,9.18,12,2020-02-24,2020-03-24,2021-02-24,Closed,21010,2565,Vehicle
L000186,C007459,1629673,8.95,24,2023-04-19,2023-05-19,2025-04-19,Active,34758,45529,Property
L000187,C045496,2206257,11.98,48,2020-06-17,2020-07-17,2024-06-17,Active,0,12168,Vehicle
L000188,C003813,378700,9.69,60,2021-03-11,2021-04-11,2026-03-11,Active,0,29549,Vehicle
L000189,C009876,4345175,10.45,24,2023-08-18,2023-09-18,2025-08-18,Overdue,0,39761,Vehicle
L000190,C067530,4910707,11.44,36,2021-12-12,2022-01-12,2024-12-12,Overdue,4062,56407,Property
L000191,C045680,482130,13.48,12,2020-10-30,2020-11-30,2021-10-30,Overdue,0,82668,None
L000192,C043640,3784092,10.86,60,2023-08-06,2023-09-06,2028-08-06,Active,0,43846,Property
L000193,C069187,2009409,13.65,12,2021-11-17,2021-12-17,2022-11-17,Overdue,0,4646,None
L000194,C048651,4622651,11.04,36,2024-07-02,2024-08-02,2027-07-02,Overdue,18486,38533,Property
L000195,C007736,1911107,13.68,12,2023-02-26,2023-03-26,2024-02-26,Closed,0,33068,Vehicle
L000196,C048469,1084530,13.77,12,2022-08-10,2022-09-10,2023-08-10,Active,0,87828,Vehicle
L000197,C068651,2568870,9.76,48,2021-03-15,2021-04-15,2025-03-15,Overdue,0,6250,Vehicle
L000198,C038142,4467194,12.33,24,2022-05-07,2022-06-07,2024-05-07,Overdue,42841,39133,Property
L000199,C010207,142610,10.17,24,2020-02-16,2020-03-16,2022-02-16,Closed,0,33274,Vehicle
L000200,C063888,625261,7.69,12,2020-06-18,2020-07-18,2021-06-18,Active,46371,45152,Property
L000201,C050223,348864,9.19,12,2022-04-02,2022-05-02,2023-04-02,Overdue,7733,56059,None
L000202,C052142,1219009,14.47,12,2022-03-05,2022-04-05,2023-03-05,Closed,36703,2681,Vehicle
L000203,C023994,4324283,11.38,24,2023-03-02,2023-04-02,2025-03-02,Active,0,50701,Vehicle
L000204,C050200,1233822,14.26,36,2020-08-18,2020-09-18,2023-08-18,Active,0,97159,Property
L000205,C064887,1226609,10.55,12,2024-08-19,2024-09-19,2025-08-19,Closed,0,58862,Property
L000206,C024801,4529726,13.26,60,2022-04-27,2022-05-27,2027-04-27,Overdue,43063,55359,Vehicle
L000207,C003500,262680,11.52,36,2022-10-09,2022-11-09,2025-10-09,Overdue,30553,82829,Property
L000208,C048270,3808682,7.63,24,2022-11-15,2022-12-15,2024-11-15,Active,0,45875,None
L000209,C044852,3695201,12.99,24,2021-02-01,2021-03-01,2023-02-01,Overdue,15860,35096,Property
L000210,C043835,3162853,10.95,60,2023-12-03,2024-01-03,2028-12-03,Active,30624,47377,None
L000211,C052475,2344777,9.92,48,2022-09-20,2022-10-20,2026-09-20,Closed,12507,39919,None
L000212,C037935,972975,8.46,60,2022-06-22,2022-07-22,2027-06-22,Closed,0,50920,Property
L000213,C029631,3652043,8.84,24,2024-02-19,2024-03-19,2026-02-19,Overdue,0,66874,None
L000214,C015590,2309172,12.77,12,2020-10-13,2020-11-13,2021-10-13,Active,9977,5921,None
L000215,C007283,4516211,11.58,36,2021-12-26,2022-01-26,2024-12-26,Active,40252,4085,Property
L000216,C014368,2191972,9.13,12,2020-12-09,2021-01-09,2021-12-09,Overdue,0,25626,Vehicle
L000217,C008292,1935135,13.23,60,2021-07-09,2021-08-09,2026-07-09,Overdue,0,17473,Vehicle
L000218,C043406,176315,7.17,12,2024-07-24,2024-08-24,2025-07-24,Overdue,31404,5046,None
L000219,C044556,3643757,12.94,48,2021-10-14,2021-11-14,2025-10-14,Active,0,33136,Property
L000220,C018834,4804351,11.39,60,2019-12-30,2020-01-30,2024-12-30,Active,3217,39981,Vehicle
L000221,C060207,4506750,11.65,48,2023-10-18,2023-11-18,2027-10-18,Closed,0,30550,Vehicle
L000222,C061658,2191966,14.65,60,2023-06-26,2023-07-26,2028-06-26,Active,0,17813,Vehicle
L000223,C004783,1902648,10.67,24,2020-10-14,2020-11-14,2022-10-14,Active,0,69997,Property
L000224,C013692,4760123,9.19,36,2020-02-21,2020-03-21,2023-02-21,Closed,0,45814,Property
L000225,C038315,3868060,10.72,60,2024-04-30,2024-05-30,2029-04-30,Active,0,38450,Vehicle
L000226,C057722,4186931,9.03,36,2021-09-03,2021-10-03,2024-09-03,Closed,0,30690,Vehicle
L000227,C022287,927398,11.54,36,2021-04-07,2021-05-07,2024-04-07,Closed,0,63835,None
L000228,C043037,4763306,12.05,36,2024-10-06,2024-11-06,2027-10-06,Closed,0,61529,Vehicle
L000229,C000274,1124403,9.9,48,2020-03-21,2020-04-21,2024-03-21,Active,6855,43635,Vehicle
L000230,C067093,3189754,11.21,36,2020-02-23,2020-03-23,2023-02-23,Active,21775,98593,Vehicle
L000231,C044700,1664660,11.61,60,2020-06-26,2020-07-26,2025-06-26,Closed,0,98602,Property
L000232,C049952,690769,10.56,60,2023-02-02,2023-03-02,2028-02-02,Closed,0,12297,Vehicle
L000233,C061958,631996,8.16,48,2022-03-09,2022-04-09,2026-03-09,Active,3645,94465,Property
L000234,C036157,4007684,12.16,36,2022-09-11,2022-10-11,2025-09-11,Active,0,63318,None
L000235,C056215,2351981,7.9,36,2024-07-14,2024-08-14,2027-07-14,Closed,43799,85369,Property
L000236,C045726,2441580,9.94,60,2020-06-28,2020-07-28,2025-06-28,Active,0,38078,Vehicle
L000237,C011661,513273,7.98,36,2022-08-22,2022-09-22,2025-08-22,Active,9365,42496,Property
L000238,C008888,3919604,12.14,36,2024-07-12,2024-08-12,2027-07-12,Overdue,38894,6982,Property
L000239,C040710,4326714,8.12,12,2021-10-15,2021-11-15,2022-10-15,Closed,43981,11426,Vehicle
L000240,C037910,1251840,10.21,60,2021-02-07,2021-03-07,2026-02-07,Overdue,0,4158,Property
L000241,C054407,4259785,9.92,12,2023-11-17,2023-12-17,2024-11-17,Closed,0,51702,Vehicle
L000242,C002277,742619,11.81,36,2023-10-26,2023-11-26,2026-10-26,Closed,1440,18163,None
L000243,C054757,366942,12.79,12,2024-07-05,2024-08-05,2025-07-05,Closed,18685,35895,Property
L000244,C046194,609049,8.16,12,2021-03-07,2021-04-07,2022-03-07,Active,0,27590,Property
L000245,C057818,3668187,9.42,48,2023-12-22,2024-01-22,2027-12-22,Overdue,39677,73968,None
L000246,C059986,480700,12.74,48,2024-02-15,2024-03-15,2028-02-15,Active,49002,7525,Property
L000247,C029742,3190029,9.16,60,2020-07-25,2020-08-25,2025-07-25,Active,45552,50965,None
L000248,C017598,1989350,9.83,36,2020-12-16,2021-01-16,2023-12-16,Active,1171,72475,Vehicle
L000249,C054905,3295694,9.33,12,2021-07-30,2021-08-30,2022-07-30,Closed,5564,93472,Property
L000250,C066724,4808720,9.58,24,2022-04-05,2022-05-05,2024-04-05,Active,0,50254,Vehicle
L000251,C021363,67558,10.82,48,2023-06-14,2023-07-14,2027-06-14,Closed,0,10945,None
L000252,C014056,3414674,14.7,24,2022-06-26,2022-07-26,2024-06-26,Closed,32386,36171,None
L000253,C023701,2974810,11.68,12,2024-10-07,2024-11-07,2025-10-07,Closed,0,76639,Property
L000254,C051978,2079818,10.35,48,2022-08-23,2022-09-23,2026-08-23,Closed,42433,69150,None
L000255,C033806,1170943,10.49,48,2020-02-10,2020-03-10,2024-02-10,Active,0,29522,Property
L000256,C060130,1317865,12.2,24,2021-04-05,2021-05-05,2023-04-05,Active,9545,40517,Vehicle
L000257,C051010,3925574,11.17,36,2023-10-03,2023-11-03,2026-10-03,Active,0,69046,Vehicle
L000258,C062728,1404143,9.82,48,2023-11-23,2023-12-23,2027-11-23,Overdue,0,68341,None
L000259,C027499,2617894,9.28,36,2022-07-27,2022-08-27,2025-07-27,Overdue,0,25427,Property
L000260,C007154,4048024,9.71,36,2024-01-16,2024-02-16,2027-01-16,Active,5966,55898,Vehicle
L000261,C031447,1330638,11.46,60,2024-01-11,2024-02-11,2029-01-11,Closed,12535,13231,Vehicle
L000262,C027546,1044650,14.13,48,2022-04-24,2022-05-24,2026-04-24,Active,1376,71460,None
L000263,C043214,2068479,14.46,12,2024-08-07,2024-09-07,2025-08-07,Active,23687,72746,None
L000264,C000013,1540090,13.32,48,2022-11-25,2022-12-25,2026-11-25,Active,0,73992,Vehicle
L000265,C010145,1989576,7.31,24,2020-11-10,2020-12-10,2022-11-10,Active,21310,10806,Property
L000266,C050701,2199745,13.33,12,2024-06-12,2024-07-12,2025-06-12,Overdue,0,82819,Property
